1,1,1,1,52,52,1,1,1,,
1,1,3,1,0,54,1,2,0,,
1,1,4,1,3,52,1,1,0,,
1,1,5,3,0,0,2,3,0,,
2,2,1,1,5,58,3,4,1,,36
2,2,6,1,0,47,3,2,0,,539
2,2,4,2,0,54,3,2,0,,134
3,3,1,1,0,37,4,4,1,,3
3,3,7,1,1,34,4,5,0,,240
3,3,8,1,0,62,4,5,0,,4
4,4,1,1,0,58,4,6,1,,13
4,4,4,2,6,38,4,7,0,,
4,5,1,1,0,69,3,2,1,,
4,5,4,1,0,68,3,5,0,,
4,5,5,3,0,0,2,3,0,,
4,5,6,1,0,66,3,8,0,,
5,6,1,1,0,64,4,1,1,,
5,6,4,1,0,40,4,5,0,,
5,6,6,1,0,60,3,2,0,,
5,6,9,1,0,60,3,2,0,,
2,7,1,1,0,64,4,7,1,,
2,7,6,2,0,46,4,2,0,,
2,7,4,1,1,58,4,9,0,,
3,8,1,1,1,60,4,9,1,,
3,8,8,1,0,64,4,9,0,,
3,8,4,1,1,60,4,7,0,,
6,9,10,1,2,54,4,9,1,,
6,9,4,2,0,52,4,2,0,,
6,9,1,1,1,64,4,4,0,,
6,10,4,2,3,32,3,7,1,,
6,10,10,1,0,44,3,4,0,,
6,10,11,1,4,61,3,7,0,,
2,11,1,1,0,46,4,7,1,,
2,11,6,1,0,51,4,4,0,,
2,11,4,1,4,62,4,5,0,,
7,12,1,1,9,43,1,8,1,,
7,12,12,1,0,52,1,5,0,,
7,12,13,2,0,42,1,2,0,,
7,12,4,1,0,44,1,9,0,,
7,12,5,3,0,0,2,3,0,,
2,13,1,2,6,69,4,4,1,,
2,13,14,1,0,63,4,5,0,,
2,13,4,1,1,49,4,1,0,,
2,13,10,1,0,77,4,2,0,,
8,14,1,1,0,46,3,1,1,,
8,14,4,1,1,60,3,2,0,,
8,14,5,3,0,0,2,3,0,,
8,14,6,1,0,41,3,2,0,,
5,15,1,1,0,35,4,7,1,,
5,15,4,1,2,47,4,5,0,,
5,15,6,1,0,31,4,7,0,,
9,16,15,2,0,46,3,5,1,,
9,16,16,1,0,28,3,9,0,,
9,16,17,1,1,59,3,2,0,,
9,16,5,3,0,0,2,3,0,,
10,17,1,1,0,67,3,2,1,,
10,17,4,2,0,56,3,2,0,,
10,17,6,1,0,55,3,7,0,,
10,17,18,1,1,61,3,7,0,,
2,18,6,1,1,38,4,5,1,,
2,18,1,1,0,71,4,9,0,,
2,18,19,1,0,36,4,1,0,,
2,18,5,3,0,0,2,3,0,,
2,19,1,2,0,43,4,1,1,,
2,19,4,1,6,48,4,2,0,,
3,20,20,2,1,33,3,7,1,,
3,20,21,1,2,71,3,5,0,,
3,20,8,1,2,47,3,6,0,,
3,20,6,1,3,56,3,1,0,,
4,21,1,1,0,64,4,1,1,,
4,21,4,1,0,42,4,5,0,,
4,21,5,3,0,0,2,3,0,,
4,21,6,1,0,47,3,10,0,,
11,22,4,1,0,46,4,1,1,,
11,22,1,1,0,67,4,2,0,,
11,22,22,1,0,58,4,7,0,,
11,22,10,2,0,55,4,5,0,,
11,22,5,3,0,0,2,3,0,,
2,23,6,1,0,43,4,5,1,,
2,23,1,1,0,58,4,8,0,,
2,23,4,1,0,35,4,1,0,,
9,24,15,2,0,52,4,9,1,,
9,24,16,1,0,43,4,7,0,,
9,24,17,1,0,56,4,2,0,,
9,24,5,3,0,0,2,3,0,,
9,24,1,1,0,65,4,2,0,,
4,25,1,1,2,54,4,6,1,,
4,25,4,1,0,65,4,9,0,,
4,25,5,3,0,0,2,3,0,,
11,26,4,1,0,53,4,9,1,,
11,26,23,1,1,69,4,2,0,,
11,26,6,1,0,62,4,5,0,,
11,26,22,1,1,51,4,2,0,,
11,26,5,3,0,0,2,3,0,,
9,27,15,1,2,48,4,4,1,,
9,27,16,1,0,45,4,5,0,,
9,27,4,1,0,29,4,9,0,,
9,27,10,1,9,58,4,8,0,,
9,27,5,3,0,0,2,3,0,,
12,28,24,1,0,65,4,2,1,,
12,28,4,1,0,60,4,5,0,,
12,28,25,2,1,59,4,9,0,,
12,28,1,1,1,53,4,11,0,,
12,28,26,1,0,60,1,8,0,,
12,28,20,1,0,45,4,1,0,,
13,29,4,1,0,52,4,9,1,,
13,29,1,1,1,46,4,9,0,,
13,29,20,1,0,61,4,2,0,,
13,29,22,1,0,49,4,1,0,,
13,29,6,1,0,43,3,2,0,,
2,30,1,1,0,50,4,7,1,,
2,30,6,2,1,57,4,5,0,,
2,30,4,1,0,64,4,9,0,,
14,31,27,1,2,71,4,7,1,,
14,31,28,1,6,55,4,2,0,,
14,31,20,1,0,43,4,8,0,,
14,31,29,1,0,40,4,2,0,,
14,31,30,1,0,61,4,2,0,,
14,31,5,3,0,0,2,3,0,,
7,32,12,2,1,33,3,2,1,,
7,32,1,1,1,55,3,2,0,,
7,32,10,1,2,59,3,2,0,,
7,32,4,2,0,41,3,5,0,,
7,32,5,3,0,0,2,3,0,,3
14,33,4,1,1,46,4,9,1,,
14,33,31,1,0,63,4,9,0,,
14,33,20,1,0,55,4,2,0,,
14,33,29,2,0,37,4,2,0,,
14,33,5,3,0,0,2,3,0,,
14,33,30,1,0,41,4,8,0,,
15,34,1,1,3,52,4,7,1,,
15,34,32,1,6,50,4,5,0,,
15,34,5,3,0,0,2,3,0,,
15,35,1,1,1,66,4,9,1,,
15,35,33,1,1,36,4,2,0,,
15,35,5,3,0,0,2,3,0,,
15,35,20,1,0,81,4,1,0,,
15,35,34,1,0,70,4,1,0,,
9,36,15,2,0,26,1,9,1,,
9,36,16,1,0,72,1,2,0,,
9,36,5,3,0,0,2,3,0,,
